,top_1_accuracy,top_5_accuracy
resnet34,0.09716599190283401,0.24696356275303644
resnet50,0.11336032388663968,0.29554655870445345
resnet101,0.13360323886639677,0.3562753036437247
ssl_resnet50,0.10121457489878542,0.3117408906882591
inception_v3,0.0931174089068826,0.23076923076923078
inception_v4,0.08097165991902834,0.2550607287449393
efficientnetv2_rw_s,0.12550607287449392,0.3117408906882591
efficientnetv2_rw_m,0.12550607287449392,0.3319838056680162
efficientnet_b2,0.10526315789473684,0.291497975708502
efficientnet_b3,0.11740890688259109,0.27125506072874495
efficientnet_b4,0.11336032388663968,0.3117408906882591
average,0.1105263157894737,0.29028340080971654
